firstName,lastName,birthDate,nationality,preferredLanguage,addressLine1,addressLine2,postalCode,city,countryCode,email,phoneNumber,comment,guestComment,purpose,guests,adults,children,checkInDate,checkInTime,checkOutDate,checkOutTime,unitGroup,unit,externalCode,channel,source,ratePlan,creditCardNumber,totalGrossAmount,id,property,bookingId,status,createdAt,arrival,departure,numberOfDays,guaranteeType,balance,currency,company,commission,priceBeforeCommission,promoCode,corporateCode
Darleen,Bauschinger,,,,Leopoldstraße 8-10,,80802,München,,daisy01.sunshine01+darleen.bauschinger@gmail.com,4989123343,,,,2,2,0,29/04/2021,17:00,,,Double,G.019,,Direct,,Non Refundable,1111,717,RKCVNKLI-1,BER,RKCVNKLI,In House,28/04/2021,29/04/2021,07/05/2021,8,Prépaiement,-717,EUR,,,,,
Emilia,Kleiss,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+emilia.kleiss@gmail.com,4989123343,,,,1,1,0,29/04/2021,17:00,,,Single,3.018,,Direct,,Non Refundable,1111,514,CGDCSTFG-1,VIE,CGDCSTFG,In House,28/04/2021,29/04/2021,08/05/2021,9,Prépaiement,-514,EUR,,,,,
Bilal,Rietscher,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+bilal.rietscher@gmail.com,4989123343,,,,2,2,0,01/05/2021,17:00,,,Double,1.010,,Direct,,Non Refundable,1111,552,FFLYNHNR-1,BER,FFLYNHNR,In House,28/04/2021,01/05/2021,07/05/2021,6,Prépaiement,-552,EUR,,,,,
Jacqueline,Krodinger,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+jacqueline.krodinger@gmail.com,4989123343,,,,1,1,0,02/05/2021,17:00,,,Double,2.004,,Direct,,Flexible,1111,641,HQEJLIQM-1,VIE,HQEJLIQM,In House,28/04/2021,02/05/2021,08/05/2021,6,CB,-641,EUR,,,,,
Malika,O'Reilly,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+malika.o'reilly@gmail.com,4989123343,,,,2,2,0,02/05/2021,10:00,,,Double,2.011,,Direct,,Flexible,1111,583,RBPZYNNK-1,LND,RBPZYNNK,In House,28/04/2021,02/05/2021,06/05/2021,4,CB,-583,GBP,,,,,
Emma,Dauer,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+emma.dauer@gmail.com,4989123343,,,,1,1,0,03/05/2021,17:00,,,Double,3.010,,Direct,,Include breakfast,1111,330,PUHJIQJF-1,BER,PUHJIQJF,In House,28/04/2021,03/05/2021,06/05/2021,3,CB,-330,EUR,,,,,
Lino,Baumeister,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+lino.baumeister@gmail.com,4989123343,,,,1,1,0,04/05/2021,10:00,,,Single,2.001,,Direct,,Non Refundable,1111,170,KVBCPOXY-1,MUC,KVBCPOXY,In House,28/04/2021,04/05/2021,06/05/2021,2,Prépaiement,-170,EUR,,,,,
Marko,Hepperle,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+marko.hepperle@gmail.com,4989123343,,,,2,2,0,04/05/2021,17:00,,,Double,4.014,,Direct,,Non Refundable,1111,377,ZZIYZZNJ-1,BER,ZZIYZZNJ,In House,28/04/2021,04/05/2021,08/05/2021,4,Prépaiement,-377,EUR,,,,,
Sidney,Leiteritz,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+sidney.leiteritz@gmail.com,4989123343,,,,1,1,0,04/05/2021,17:00,,,Double,G.010,,Direct,,Flexible,1111,206,TUHSQIIK-1,BER,TUHSQIIK,In House,28/04/2021,04/05/2021,06/05/2021,2,CB,-206,EUR,,,,,
Skylar,Quitzon,,,,22 Limerick Road,,B3 1JK,Birmingham,GB,daisy01.sunshine01+skylar.quitzon@gmail.com,4989123343,,,,1,1,0,04/05/2021,10:00,,,Double,2.004,,Direct,,Flexible,1111,536,VAYUKGMO-1,LND,VAYUKGMO,In House,28/04/2021,04/05/2021,08/05/2021,4,CB,-536,GBP,,,,,
Romy,Ekpo,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+romy.ekpo@gmail.com,4989123343,,,,1,1,0,,,,,Double,3.019,,Direct,,Non Refundable,1111,152,ESMBGBFB-1,VIE,ESMBGBFB,Confirmée,28/04/2021,05/05/2021,07/05/2021,2,Prépaiement,-152,EUR,,,,,
Laura,Herwig,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+laura.herwig@gmail.com,4989123343,,,,1,1,0,,,,,Double,4.016,,Direct,,Non Refundable,1111,187,EDSTDNPB-1,BER,EDSTDNPB,Confirmée,28/04/2021,05/05/2021,07/05/2021,2,Prépaiement,-187,EUR,,,,,
Paulina,Kesselring,,,,Leopoldstraße 8-10,,80802,München,DE,daisy01.sunshine01+paulina.kesselring@gmail.com,4989123343,,,,2,2,0,,,,,Double,2.010,,Direct,,Non Refundable,1111,89,GROTZHLK-1,VIE,GROTZHLK,Confirmée,28/04/2021,05/05/2021,06/05/2021,1,Prépaiement,-89,EUR,,,,,
